game_id,name,release_date,release_year,total_reviews,positive_percent,developer,publisher,genres,tags,platforms,current_price,discounted_price,discount_percent
230410,Warframe,"25 Mar, 2013",2013,621356,87,,,,,,Free To Play,Free To Play,
2252570,Football Manager 2024,"6 Nov, 2023",2023,13887,90,,,"Simulation, Sports, Strategy",Simulation;Sports;Strategy,"Mac, Windows",$39.99 USD,$39.99 USD,
1962663,Call of Duty®: Warzone™,"16 Nov, 2022",2022,45219,31,,,,,,Free To Play,Free To Play,
12210,Grand Theft Auto IV: The Complete Edition,"24 Mar, 2020",2020,154338,82,,,"Action, Adventure",Action;Adventure,Windows,$19.99,$5.99 USD,-70%
1943950,Escape the Backrooms,"11 Aug, 2022",2022,86229,91,,,"Indie, Early Access",Indie;Early Access,Windows,$5.79 USD,$5.79 USD,
238960,Path of Exile,"23 Oct, 2013",2013,236741,88,,,"Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play",Action;Adventure;Indie;Massively Multiplayer;RPG;Free To Play,"Mac, Windows",Free To Play,Free To Play,
1562430,DREDGE,"30 Mar, 2023",2023,37264,95,,,"Adventure, RPG",Adventure;RPG,"Mac, Windows",$12.49,$6.24 USD,-50%
2668510,Red Dead Redemption,"29 Oct, 2024",2024,9925,92,,,Action,Action,Windows,$7.99 USD / month,$7.99 USD / month,
1158310,Crusader Kings III,"1 Sep, 2020",2020,80714,91,,,,,,,,
394360,Hearts of Iron IV,"9 Apr, 2024",2024,238553,91,,,,,,,,
518790,theHunter: Call of the Wild™,"16 Feb, 2017",2017,148641,89,,,,,,,,
2215390,Five Nights at Freddy's: Secret of the Mimic,"13 Jun, 2025",2025,3767,82,,,Indie,Indie,Windows,$30.58 USD,$25.18 USD,-18%
3240220,Grand Theft Auto V Enhanced,"4 Mar, 2025",2025,57938,67,,,,,,Free To Play,Free To Play,
214950,Total War: ROME II - Emperor Edition,"2 Sep, 2013",2013,50431,86,,,Strategy,Strategy,"Mac, Windows",$26.99,$6.74 USD,-75%
1937780,Total War: PHARAOH,"11 Oct, 2023",2023,3360,64,,,,,,,,
779340,Total War: THREE KINGDOMS,"23 May, 2019",2019,59853,82,,,"Action, Strategy",Action;Strategy,"Linux, Mac, Windows",$49.99,$12.49 USD,-75%
1903340,Clair Obscur: Expedition 33,"24 Apr, 2025",2025,83876,95,,,,,,Free To Play,Free To Play,
1086940,Baldur's Gate 3,"3 Aug, 2023",2023,673153,96,,,,,,Free To Play,Free To Play,
2694490,Path of Exile 2,"6 Dec, 2024",2024,127779,72,,,"Action, Adventure, Massively Multiplayer, RPG, Early Access",Action;Adventure;Massively Multiplayer;RPG;Early Access,Windows,$29.99 USD,$29.99 USD,
1274570,DEVOUR,"28 Jan, 2021",2021,64109,91,,,Indie,Indie,"Mac, Windows",$5.79 USD,$5.79 USD,
2399830,ARK: Survival Ascended,"26 Oct, 2023",2023,70305,59,,,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access",Action;Adventure;Indie;Massively Multiplayer;RPG;Early Access,Windows,$20.99,$10.49 USD,-50%
805550,Assetto Corsa Competizione,"29 May, 2019",2019,26419,92,,,"Racing, Simulation, Sports",Racing;Simulation;Sports,Windows,$18.99,$4.74 USD,-75%
2141730,Backrooms: Escape Together,"18 Oct, 2022",2022,19834,87,,,"Action, Adventure, Casual, Indie, Early Access",Action;Adventure;Casual;Indie;Early Access,Windows,$5.79 USD,$5.79 USD,
1174180,Red Dead Redemption 2,"5 Dec, 2019",2019,683208,91,,,"Action, Adventure",Action;Adventure,Windows,$59.99 USD,$59.99 USD,
835570,Conqueror's Blade,"6 Apr, 2020",2020,34503,68,,,"Action, Massively Multiplayer, RPG, Strategy, Free To Play",Action;Massively Multiplayer;RPG;Strategy;Free To Play,Windows,Free To Play,Free To Play,
1145350,Hades II,"6 May, 2024",2024,60372,94,,,"Action, Indie, RPG, Early Access",Action;Indie;RPG;Early Access,"Mac, Windows",$14.99,$13.49 USD,-10%
438100,VRChat,"1 Feb, 2017",2017,241122,75,,,"Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access",Adventure;Casual;Massively Multiplayer;Simulation;Sports;Free To Play;Early Access,Windows,Free To Play,Free To Play,
236850,Europa Universalis IV,"13 Aug, 2013",2013,88697,87,,,"Simulation, Strategy",Simulation;Strategy,"Linux, Mac, Windows",$29.99 USD,$29.99 USD,
2737070,Crime Simulator,"17 Jun, 2025",2025,60,56,,,"Action, Indie, Simulation",Action;Indie;Simulation,Windows,$6.99,$6.29 USD,-10%
413150,Stardew Valley,"26 Feb, 2016",2016,759909,98,,,"Indie, RPG, Simulation",Indie;RPG;Simulation,"Linux, Mac, Windows",$5.99 USD,$5.99 USD,
477160,Human Fall Flat,"22 Jul, 2016",2016,164289,94,,,"Adventure, Casual, Indie, Simulation",Adventure;Casual;Indie;Simulation,"Mac, Windows",$10.49,$3.14 USD,-70%
2131680,METAL GEAR & METAL GEAR 2: Solid Snake,"24 Oct, 2023",2023,433,84,,,Action,Action,Windows,$10.49,$5.24 USD,-50%
468920,Ultimate Fishing® Simulator,"30 Aug, 2018",2018,7019,89,,,,,,,,
1063730,New World: Aeternum,"28 Sep, 2021",2021,245503,68,,,,,,,,
3059520,F1® 25,"30 May, 2025",2025,3135,87,,,,,,,,
1063730,New World: Aeternum,"28 Sep, 2021",2021,245503,68,,,,,,,,
322330,Don't Starve Together,"21 Apr, 2016",2016,342690,95,,,"Action, Adventure, Indie, RPG, Simulation, Strategy",Action;Adventure;Indie;RPG;Simulation;Strategy,"Linux, Mac, Windows",$6.59,$2.24 USD,-66%
883710,Resident Evil 2,"24 Jan, 2019",2019,119210,96,,,,,,Free To Play,Free To Play,
2531310,The Last of Us™ Part II Remastered,"3 Apr, 2025",2025,16152,90,,,,,,Free To Play,Free To Play,
242760,The Forest,"30 Apr, 2018",2018,534491,95,,,"Action, Adventure, Indie, Simulation",Action;Adventure;Indie;Simulation,Windows,$10.49 USD,$10.49 USD,
2456740,inZOI,"28 Mar, 2025",2025,19698,78,,,"Adventure, Casual, Simulation, Early Access",Adventure;Casual;Simulation;Early Access,Windows,$24.99,$22.49 USD,-10%
1874880,Arma Reforger,"16 Nov, 2023",2023,28667,76,,,,,,Free To Play,Free To Play,
1659040,HITMAN World of Assassination,"20 Jan, 2022",2022,40412,86,,,,,,Free To Play,Free To Play,
3533100,Wrap House Simulator🌯,"29 May, 2025",2025,620,88,,,"Casual, Indie, Simulation",Casual;Indie;Simulation,Windows,$8.53 USD,$7.63 USD,-11%
1881700,Undawn,"14 Jun, 2023",2023,6359,54,,,,,,,,
2947440,SILENT HILL f,"25 Sep, 2025",2025,0,0,,,,,,,,
2133520,Ertugrul of Ulukayin,"12 Jun, 2025",2025,254,92,,,,,,,,
1326470,Sons Of The Forest,"22 Feb, 2024",2024,225941,87,,,,,,,,
2567870,Chained Together,"19 Jun, 2024",2024,45616,90,,,,,,,,
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,"1 Sep, 2015",2015,67210,91,,,,,,,,
3596770,SCUM Deluxe Content Pack,"17 Jun, 2025",2025,19,94,,,"Action, Adventure, Indie, Massively Multiplayer",Action;Adventure;Indie;Massively Multiplayer,Windows,$6.99 USD,$6.99 USD,
548430,Deep Rock Galactic,"13 May, 2020",2020,274627,97,,,Action,Action,Windows,$14.99,$4.94 USD,-67%
1222670,The Sims™ 4,"18 Jun, 2020",2020,171506,87,,,"Adventure, Casual, Simulation, Free To Play",Adventure;Casual;Simulation;Free To Play,Windows,Free To Play,Free To Play,
1966720,Lethal Company,"24 Oct, 2023",2023,394030,97,,,"Action, Adventure, Indie, Early Access",Action;Adventure;Indie;Early Access,Windows,$5.79 USD,$5.79 USD,
1172620,Sea of Thieves: 2025 Edition,"3 Jun, 2020",2020,306991,89,,,"Action, Adventure",Action;Adventure,Windows,$27.99 USD,$27.99 USD,
440,Team Fortress 2,"10 Oct, 2007",2007,1163868,89,,,"Action, Free To Play",Action;Free To Play,"Linux, Windows",Free To Play,Free To Play,
761890,Albion Online,"16 May, 2018",2018,83356,78,,,"Massively Multiplayer, RPG, Free To Play",Massively Multiplayer;RPG;Free To Play,"Linux, Mac, Windows",Free To Play,Free To Play,
251570,7 Days to Die,"25 Jul, 2024",2024,253599,88,,,"Action, Adventure, Indie, RPG, Simulation, Strategy",Action;Adventure;Indie;RPG;Simulation;Strategy,"Linux, Mac, Windows",$20.99 USD,$20.99 USD,
815370,Green Hell,"5 Sep, 2019",2019,61104,86,,,"Action, Adventure, Indie, Simulation",Action;Adventure;Indie;Simulation,Windows,$12.49,$3.12 USD,-75%
2531310,The Last of Us™ Part II Remastered,"3 Apr, 2025",2025,16152,90,,,,,,Free To Play,Free To Play,
952060,Resident Evil 3,"24 Jan, 2019",2019,61970,82,,,Action,Action,Windows,$24.99,$6.24 USD,-75%
